(0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0)
Policy: 
state -> action, value-function
0:0:0:1:0:0:1:0 -> WE, 181.913212901
0:1:0:1:0:0:1:0 -> PS, 240.628458566
0:1:1:0:1:1:1:1 -> PS, 201.634569115
1:0:1:0:1:1:1:0 -> PS, 243.285167496
1:0:1:0:1:1:1:1 -> PS, 333.732876272
1:0:0:1:0:1:0:1 -> PS, 319.533992254
0:0:0:0:1:0:1:1 -> WE, 0.0
0:1:1:1:0:0:0:0 -> WE, 206.321543587
0:1:1:1:0:0:0:1 -> PS, 719.919411355
1:0:0:0:0:0:1:1 -> PS, 159.540474469
1:0:0:0:0:0:1:0 -> WE, 217.975382292
1:1:1:1:0:1:1:1 -> WE, 217.975382292
1:1:1:0:1:0:0:0 -> PS, 236.985221978
0:0:1:1:1:0:0:1 -> PS, 15.6195501498
1:1:1:0:0:1:1:0 -> WE, 217.975382292
0:0:1:1:1:1:1:1 -> PS, 3.42027008897
0:0:0:0:1:0:0:0 -> WE, 170.228443584
0:0:0:0:0:0:0:1 -> PS, 171.16771694
0:0:0:0:1:0:1:0 -> PS, 197.942044104
0:1:1:0:1:1:0:0 -> PS, 282.648664378
0:1:0:1:1:1:0:1 -> PS, 318.155935658
0:1:0:0:1:1:0:0 -> PS, 195.094511024
1:0:1:0:1:0:0:0 -> PS, 269.019961389
1:0:1:0:1:0:0:1 -> PS, 379.857423976
1:0:0:0:1:0:1:0 -> WE, 214.087023972
1:1:0:0:1:1:1:0 -> WE, 217.975382292
1:1:0:0:1:1:1:1 -> PS, 196.177388554
1:0:1:1:1:1:0:0 -> PS, 309.433268518
0:0:0:0:0:0:1:0 -> WE, 196.177388554
1:1:0:1:1:0:1:1 -> PS, 194.737031518
0:1:1:1:1:0:1:0 -> PS, 283.100225848
0:1:1:1:1:0:1:1 -> PS, 307.66164507
1:0:1:1:0:0:0:0 -> WE, 217.975382292
1:0:1:1:0:0:0:1 -> PS, 434.020972225
0:1:0:1:1:0:0:0 -> WE, 205.60356792
1:0:1:1:0:1:1:1 -> PS, 283.94329843
1:1:0:0:0:0:1:0 -> PS, 169.87191497
0:1:1:0:1:1:0:1 -> PS, 195.16670286
1:0:0:0:1:0:1:1 -> PS, 168.572524928
0:1:0:1:0:1:0:1 -> PS, 194.737031518
0:0:0:1:0:0:0:1 -> WE, 170.228443584
0:0:0:0:0:1:1:1 -> WE, 217.975382292
0:1:0:0:0:0:1:0 -> PS, 245.935885792
1:0:1:0:1:1:0:1 -> PS, 416.181286102
0:0:0:1:0:0:0:0 -> WE, 157.704514199
0:0:0:1:0:1:0:0 -> WE, 174.984730912
1:0:0:0:0:0:0:1 -> PS, 140.680761847
1:0:0:1:1:1:0:0 -> WE, 221.885605699
0:1:1:1:0:1:0:1 -> PS, 391.434413105
1:0:0:1:0:0:0:0 -> PS, 248.711732242
0:0:0:1:1:0:0:1 -> PS, 175.22126208
0:0:0:1:1:0:0:0 -> PS, 182.9343095
1:1:0:0:0:1:1:0 -> WE, 203.13316448
1:0:0:0:0:0:0:0 -> WE, 212.658802099
1:1:0:1:0:1:0:0 -> PS, 196.609120892
0:1:1:1:0:1:1:0 -> WE, 220.283438129
0:0:0:1:0:1:0:1 -> PS, 287.580099357
0:0:0:0:0:1:0:0 -> WE, 163.48048764
0:0:0:0:0:0:0:0 -> WE, 165.627565814
1:0:1:1:1:1:1:1 -> PS, 364.883800852
1:0:1:1:1:1:1:0 -> PS, 266.019942238
0:1:0:1:1:0:1:1 -> WE, 176.559283865
0:1:0:0:0:0:0:1 -> PS, 341.87097674
1:1:0:0:1:0:1:0 -> PS, 163.525230994
1:0:0:1:0:0:1:0 -> WE, 206.49021955
